169,一拳超人,12话 , 2015年10月4日 ,,8.1,4600人
170,穿越时空的少女,1话 , 2006年7月15日 , 細田守 、 筒井康隆 、 貞本義行 、,8.1,5560人
171,宇宙战舰大和号2199,26话 , 2013年4月7日 ,,8.1,869人
172,寒蝉鸣泣之时,26话 , 2006年4月4日 , 今千秋 、 竜騎士07 、 07th Expansion 、,8.1,5081人
173,回忆积木小屋,1话 , 2008年6月10日 , 加藤久仁生 、,8.1,701人
174,奇诺之旅,13话 , 2003年4月8日 , 中村隆太郎 、,8.1,1644人
175,妄想代理人,13话 , 2004年2月2日 , 今敏 、 今敏 、 安藤雅司 、,8.1,1680人
176,机动战士高达 THE ORIGIN,6话 , 2015年4月24日 ,,8.1,558人
177,福星小子2 绮丽梦中人,1话 , 1984年2月11日 ,,8.3,187人
178,小魔女DoReMi 童年秘密篇,13话 , 2004年6月26日 ,,8.5,102人
179,疯狂约会美丽都,,2003年6月11日 , Sylvain Chomet 、,8.2,289人
180,黑礁 The Second Barrage,12话 , 2006年10月2日 , 片渕須直 、 広江礼威（小学館刊『月刊サンデージェネックス』連載） 、,8.0,2236人
182,空之境界 第三章 痛觉残留,1话 , 2008年2月9日 , 小船井充 、,8.0,4317人
183,伤物语III 冷血篇,1话 , 2017年1月6日 ,,8.0,1240人
184,吹响！悠风号 第二季,13话 , 2016年10月5日 , 武田綾乃 、,8.0,2693人
185,魔卡少女樱,70话 , 1998年4月7日 , 浅香守生 、 CLAMP (講談社「なかよし」連載) 、,8.0,3789人
186,无限的未知,26话 , 1999年10月6日 , 谷口悟朗 、 平井久司 、,8.1,758人
187,交响情人梦,23话 , 2007年1月11日 , 島村秀一 、,8.0,1582人
188,少女☆歌剧 Revue・Starlight,12话 , 2018年7月12日 , 古川知宏 、 ブシロード、ネルケプラニング 、 齊田博之 、,8.1,654人
189,校园迷糊大王,26话 , 2004年10月5日 , 高松信司 、 小林尽 、 渡辺はじめ 、,8.0,1975人
190,机动战舰,26话 , 1996年10月1日 , 後藤圭二 、,8.1,783人
